
2021-06-27T16:03:43 | Chess | play | LOG | -----------------NEW MCTS ITERATION----------------- | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23527, Node Level: 264, Node Index: 15, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.06983208656311035 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23533, Node Level: 264, Node Index: 21, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.06030607223510742 seconds, Result:[WIN] 2 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23514, Node Level: 264, Node Index: 2, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.05012679100036621 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23530, Node Level: 264, Node Index: 18, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.08995532989501953 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23512, Node Level: 264, Node Index: 0, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.06487464904785156 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23523, Node Level: 264, Node Index: 11, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.040067195892333984 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23522, Node Level: 264, Node Index: 10, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.04016375541687012 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23534, Node Level: 264, Node Index: 22, Parent ID: 23509 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.01987600326538086 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23541, Node Level: 265, Node Index: 3, Parent ID: 23534 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.04017949104309082 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | play | LOG | -------------Black selected move: b7b2, moveIndex: 14------------- | 
2021-06-27T16:07:47 | Chess | play | LOG | Board FEN after move 132: 3n4/8/4k3/7p/6p1/2K5/1r6/2R5 w - - 33 133 | 
2021-06-27T16:07:47 | Chess | play | LOG | ------------White deciding move-------------- | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23481, Node Level: 264, Node Index: 14, Parent ID: 23464 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.1324765682220459 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23559, Node Level: 265, Node Index: 9, Parent ID: 23481 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.07016181945800781 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23551, Node Level: 265, Node Index: 1, Parent ID: 23481 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.040120601654052734 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23550, Node Level: 265, Node Index: 0, Parent ID: 23481 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.08474540710449219 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23564, Node Level: 266, Node Index: 2, Parent ID: 23551 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.030073165893554688 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23600, Node Level: 266, Node Index: 12, Parent ID: 23559 | 
2021-06-27T16:07:47 | Chess | rollout | LOG | Rollout took 0.03004908561706543 seconds, Result:[DRAW] | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:07:47 | Chess | get_best | LOG | Found leaf node with Node ID: 23557, Node Level: 265, Node Index: 7, Parent ID: 23481 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.05964827537536621 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23554, Node Level: 265, Node Index: 4, Parent ID: 23481 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.055376529693603516 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23623, Node Level: 266, Node Index: 11, Parent ID: 23550 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.06015324592590332 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23575, Node Level: 266, Node Index: 13, Parent ID: 23551 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.03998136520385742 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | play | LOG | ------------White selected move: c3d4, moveIndex: 0------------ | 
2021-06-27T16:07:48 | Chess | play | LOG | Board FEN after move 133: 3n4/8/4k3/7p/3K2p1/8/1r6/2R5 b - - 34 133 | 
2021-06-27T16:07:48 | Chess | play | LOG | -------------Black deciding move-------------- | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 0 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23637, Node Level: 265, Node Index: 0, Parent ID: 23526 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.1001276969909668 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 1 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23652, Node Level: 266, Node Index: 3, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.059892892837524414 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 2 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23662, Node Level: 266, Node Index: 13, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.05977010726928711 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 3 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23666, Node Level: 266, Node Index: 17, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.0948946475982666 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 4 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23672, Node Level: 266, Node Index: 23, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.050225257873535156 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 5 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23669, Node Level: 266, Node Index: 20, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.08005619049072266 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 6 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23661, Node Level: 266, Node Index: 12, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.08319258689880371 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 7 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23676, Node Level: 267, Node Index: 2, Parent ID: 23652 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.025064945220947266 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 8 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23651, Node Level: 266, Node Index: 2, Parent ID: 23637 | 
2021-06-27T16:07:48 | Chess | rollout | LOG | Rollout took 0.10009908676147461 seconds, Result:[DRAW] | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Running iteration 9 | 
2021-06-27T16:07:48 | Chess | get_best | LOG | Found leaf node with Node ID: 23658, Node Level: 266, Node Index: 9, Parent ID: 23637 | 
2021-06-27T16:07:49 | Chess | rollout | LOG | Rollout took 0.11995911598205566 seconds, Result:[DRAW] | 
